bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
MEENAKSHI ASSOCIATES PVT LTD,"[{'S.no': '1', 'Vendor_code': '3643', 'Vendor_name': 'SUDHIR BROTHERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3655', 'Vendor_name': 'SREE RAMAKRISHNA ENGINEERING ENTERPRISES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': '3656', 'Vendor_name': 'SRI LAKSHMI PRABHA ENGG INDUSTRIES P LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3680', 'Vendor_name': 'CHANDERPUR INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3691', 'Vendor_name': 'INDCON PROJECTS AND EQUIPMENT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3718', 'Vendor_name': 'KAY BOUVET ENGINEERING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3738', 'Vendor_name': 'HEMALATHAA HI-TECH INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3746', 'Vendor_name': 'CRYSTAL INDUSTRIAL SYNDICATE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '9', 'Vendor_code': '3842', 'Vendor_name': 'MULTITEX FILTRATION ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': '3894', 'Vendor_name': 'PRABHA STEEL INDUSTRIES [RANIA, SAVLI]', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': '3941', 'Vendor_name': 'PARAMOUNT LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': '3942', 'Vendor_name': 'ATV PROJECTS INDIA LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'A205', 'Vendor_name': 'ACOUSTICS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'B168', 'Vendor_name': 'BTL EPC LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'B216', 'Vendor_name': 'BARODA EQUIPMENT AND VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'E115', 'Vendor_name': 'EXPO GAS CONTAINERS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': 'E183', 'Vendor_name': 'ENPRO INDUSTRIES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': 'F175', 'Vendor_name': 'FIL SEP EQUIPMENTS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '19', 'Vendor_code': 'G003', 'Vendor_name': 'GMM PFAUDLER LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '20', 'Vendor_code': 'G118', 'Vendor_name': 'GRAND PRIX ENGINEERING PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '21', 'Vendor_code': 'G174', 'Vendor_name': 'GEMINI ENGI-FAB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '22', 'Vendor_code': 'K035', 'Vendor_name': 'THE KCP LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '23', 'Vendor_code': 'M163', 'Vendor_name': 'MEENAKSHI ASSOCIATES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '24', 'Vendor_code': 'N142', 'Vendor_name': 'NOVATECH PROJECTS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '25', 'Vendor_code': 'N150', 'Vendor_name': 'NUBERG ENGINEERING LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '26', 'Vendor_code': 'O050', 'Vendor_name': 'ORIENTAL ENTERPRISE PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '27', 'Vendor_code': 'R146', 'Vendor_name': 'RELIANCE FABRICATIONS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '28', 'Vendor_code': 'R219', 'Vendor_name': 'RADIANT HEAT EXCHANGER PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '29', 'Vendor_code': 'S133', 'Vendor_name': 'Shree Satyanarayan Ind. Supp. Pvt. Ltd', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '30', 'Vendor_code': 'S480', 'Vendor_name': 'SPARKON ENGINEERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '31', 'Vendor_code': 'T239', 'Vendor_name': 'TEMSONN VESELEX INDIA PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '32', 'Vendor_code': 'U111', 'Vendor_name': 'UNIQUE CHEMOPLANT EQUIPMENTS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",6378000 INR,24-02-2022,"PRESSURE VESSEL - LTCS, PRESSURE VESSEL -CS (UP TO 25MM)",13-01-2022,B229-000-VV-MR-6050/105,25-MAR-2022
SPARKON ENGINEERS,"[{'S.no': '1', 'Vendor_code': '3643', 'Vendor_name': 'SUDHIR BROTHERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3655', 'Vendor_name': 'SREE RAMAKRISHNA ENGINEERING ENTERPRISES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': '3656', 'Vendor_name': 'SRI LAKSHMI PRABHA ENGG INDUSTRIES P LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3680', 'Vendor_name': 'CHANDERPUR INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3691', 'Vendor_name': 'INDCON PROJECTS AND EQUIPMENT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3718', 'Vendor_name': 'KAY BOUVET ENGINEERING LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3738', 'Vendor_name': 'HEMALATHAA HI-TECH INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3746', 'Vendor_name': 'CRYSTAL INDUSTRIAL SYNDICATE PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '9', 'Vendor_code': '3842', 'Vendor_name': 'MULTITEX FILTRATION ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': '3894', 'Vendor_name': 'PRABHA STEEL INDUSTRIES [RANIA, SAVLI]', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': '3941', 'Vendor_name': 'PARAMOUNT LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': '3942', 'Vendor_name': 'ATV PROJECTS INDIA LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'A205', 'Vendor_name': 'ACOUSTICS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'B168', 'Vendor_name': 'BTL EPC LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '15', 'Vendor_code': 'B216', 'Vendor_name': 'BARODA EQUIPMENT AND VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'E115', 'Vendor_name': 'EXPO GAS CONTAINERS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': 'E183', 'Vendor_name': 'ENPRO INDUSTRIES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': 'F175', 'Vendor_name': 'FIL SEP EQUIPMENTS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '19', 'Vendor_code': 'G003', 'Vendor_name': 'GMM PFAUDLER LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '20', 'Vendor_code': 'G118', 'Vendor_name': 'GRAND PRIX ENGINEERING PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '21', 'Vendor_code': 'G174', 'Vendor_name': 'GEMINI ENGI-FAB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '22', 'Vendor_code': 'K035', 'Vendor_name': 'THE KCP LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '23', 'Vendor_code': 'M163', 'Vendor_name': 'MEENAKSHI ASSOCIATES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '24', 'Vendor_code': 'N142', 'Vendor_name': 'NOVATECH PROJECTS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '25', 'Vendor_code': 'N150', 'Vendor_name': 'NUBERG ENGINEERING LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '26', 'Vendor_code': 'O050', 'Vendor_name': 'ORIENTAL ENTERPRISE PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '27', 'Vendor_code': 'R146', 'Vendor_name': 'RELIANCE FABRICATIONS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '28', 'Vendor_code': 'R219', 'Vendor_name': 'RADIANT HEAT EXCHANGER PVT.LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '29', 'Vendor_code': 'S133', 'Vendor_name': 'Shree Satyanarayan Ind. Supp. Pvt. Ltd', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '30', 'Vendor_code': 'S480', 'Vendor_name': 'SPARKON ENGINEERS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '31', 'Vendor_code': 'T239', 'Vendor_name': 'TEMSONN VESELEX INDIA PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '32', 'Vendor_code': 'U111', 'Vendor_name': 'UNIQUE CHEMOPLANT EQUIPMENTS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",17470000 INR,24-02-2022,"PRESSURE VESSEL - LTCS, PRESSURE VESSEL -CS (UP TO 25MM)",13-01-2022,B229-000-VV-MR-6050/105,25-MAR-2022
J.P. Test  and Research Centre,"[{'S.no': '1', 'Vendor_code': 'A068', 'Vendor_name': 'ABC TECHNO LABS INDIA PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'I025', 'Vendor_name': 'Idma Laboratories Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'J009', 'Vendor_name': 'J.P. Test  and Research Centre', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'M041', 'Vendor_name': 'MANTEC CONSULTANTS PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'N046', 'Vendor_name': 'NETEL INDIA LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'P075', 'Vendor_name': 'PRAGATHI LABS AND CONSULTANTS (P) LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': 'S008', 'Vendor_name': 'SUPERINTENDENCE COMPANY OF INDIA PVT.         LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': 'V034', 'Vendor_name': 'VARDAN ENVIROLAB', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",355596 INR,21-02-2022,Baseline Data Collection forEnnore LNG Terminal Expansion,11-02-2022,AS/B507-000-PN-T-8724/1001,05-MAR-2022
RATNAMANI METALS AND TUBES LTD,"[{'S.no': '1', 'Vendor_code': 'M187A', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'T234', 'Vendor_name': 'MEGA PIPES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'W056', 'Vendor_name': 'WELSPUN CORP LIMITED (DAHEJ)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '~1437', 'Vendor_name': 'JINDAL SAW LTD GUJRAT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",428801852.44 INR,05-07-2021,PIPE: 3L PE COATED,17-03-2021,B229-000-WA-MR-3205/76,14-MAR-2022
MAHARASHTRA SEAMLESS LTD.,"[{'S.no': '1', 'Vendor_code': 'M187A', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'T234', 'Vendor_name': 'MEGA PIPES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'W056', 'Vendor_name': 'WELSPUN CORP LIMITED (DAHEJ)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '~1437', 'Vendor_name': 'JINDAL SAW LTD GUJRAT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",39522581.4 INR,05-07-2021,PIPE: 3L PE COATED,17-03-2021,B229-000-WA-MR-3205/76,11-MAR-2022
MUKAT TANKS & VESSELS PVT LTD,"[{'S.no': '1', 'Vendor_code': 'M187A', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'T234', 'Vendor_name': 'MEGA PIPES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'W056', 'Vendor_name': 'WELSPUN CORP LIMITED (DAHEJ)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '~1437', 'Vendor_name': 'JINDAL SAW LTD GUJRAT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",62679558 INR,05-07-2021,PIPE: 3L PE COATED,17-03-2021,B229-000-WA-MR-3205/76,11-MAR-2022
JINDAL SAW LTD GUJRAT,"[{'S.no': '1', 'Vendor_code': 'M187A', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'M188', 'Vendor_name': 'MUKAT TANKS & VESSELS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'R066', 'Vendor_name': 'RATNAMANI METALS AND TUBES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'T234', 'Vendor_name': 'MEGA PIPES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'W056', 'Vendor_name': 'WELSPUN CORP LIMITED (DAHEJ)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '~1437', 'Vendor_name': 'JINDAL SAW LTD GUJRAT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",394645640.54 INR,05-07-2021,PIPE: 3L PE COATED,17-03-2021,B229-000-WA-MR-3205/76,11-MAR-2022
EVEREST PUMPS & SYSTEMS,"[{'S.no': '1', 'Vendor_code': '82196', 'Vendor_name': 'EVEREST PUMPS & SYSTEMS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'N151', 'Vendor_name': 'NETZSCH TECHNOLOGIES INDIA PVT.LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'V162', 'Vendor_name': 'VOGELSANG INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",7495306.64 INR,15-07-2021,PUMP-ROTARY(LOBE),21-05-2021,B229-000-PA-MR-5550/505,07-MAR-2022
SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"[{'S.no': '1', 'Vendor_code': 'A309', 'Vendor_name': 'ABB INDIA LTD (NASIK)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'L103', 'Vendor_name': 'SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",283743987.02 INR,29-10-2021,SWITCHBOARDS: HV (INDOOR) WITH VCB,29-06-2021,B229-000-XB-MR-0010/85,05-MAR-2022
ABB INDIA LTD (BANGALORE),"[{'S.no': '1', 'Vendor_code': 'A200', 'Vendor_name': 'ABB INDIA LTD (BANGALORE)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'C015', 'Vendor_name': 'CHEMTROLS INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E179', 'Vendor_name': 'EMERSON PROCESS MANAGEMENT INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",10041800 INR,11-11-2021,Analyser Systems,23-09-2021,B229-000-YA-MR-2940/26,04-MAR-2022
EMERSON PROCESS MANAGEMENT INDIA PVT LTD,"[{'S.no': '1', 'Vendor_code': 'A200', 'Vendor_name': 'ABB INDIA LTD (BANGALORE)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'C015', 'Vendor_name': 'CHEMTROLS INDUSTRIES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'E179', 'Vendor_name': 'EMERSON PROCESS MANAGEMENT INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",1270125 INR,11-11-2021,Analyser Systems,23-09-2021,B229-000-YA-MR-2940/26,04-MAR-2022
KONSTELEC ENGINEERS PVT. LTD.,"[{'S.no': '1', 'Vendor_code': '57711', 'Vendor_name': 'EMRAIL ENGINEERING AND CONSTRUCTION PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': 'K040', 'Vendor_name': 'KONSTELEC ENGINEERS PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'O009', 'Vendor_name': 'OFFSHORE INFRASTRUCTURES  LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'S070', 'Vendor_name': 'STERLING ELECTRO ENTERPRISES PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '~133', 'Vendor_name': 'JSIW INFRASTRUCTURE PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': '~26E', 'Vendor_name': 'M/s. Evio Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",345518030 INR,11-01-2022,Electrical Work-I,30-11-2021,AS/B229-000-EC-T-0945/1019,28-MAR-2022
OFFSHORE INFRASTRUCTURES  LTD,"[{'S.no': '1', 'Vendor_code': '57711', 'Vendor_name': 'EMRAIL ENGINEERING AND CONSTRUCTION PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': 'K040', 'Vendor_name': 'KONSTELEC ENGINEERS PVT. LTD.', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'O009', 'Vendor_name': 'OFFSHORE INFRASTRUCTURES  LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'S070', 'Vendor_name': 'STERLING ELECTRO ENTERPRISES PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '~133', 'Vendor_name': 'JSIW INFRASTRUCTURE PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '6', 'Vendor_code': '~26E', 'Vendor_name': 'M/s. Evio Private Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",439326683 INR,11-01-2022,Electrical Work-I,30-11-2021,AS/B229-000-EC-T-0945/1019,28-MAR-2022
J.B.COMIDA PRIVATE LIMITED,"[{'S.no': '1', 'Vendor_code': '57602', 'Vendor_name': 'Aeiforia constructions pvt ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57603', 'Vendor_name': 'Aran Projects Pvt. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '3', 'Vendor_code': '57604', 'Vendor_name': 'CHAKRABORTY CONSTRUCTION COMPANY', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57605', 'Vendor_name': 'INDECO CONSORTIUM PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '57606', 'Vendor_name': 'J.B.COMIDA PRIVATE LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '57607', 'Vendor_name': 'KHANETOO ENGINEERS PVT LTD', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '7', 'Vendor_code': '57608', 'Vendor_name': 'manashi Craft pvt. Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '57609', 'Vendor_name': 'Prescience Techno Industries', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': '57610', 'Vendor_name': 'RIGHT ADDRESS', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '10', 'Vendor_code': '57611', 'Vendor_name': 'E-VERVE DESIGN', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': '~KA7', 'Vendor_name': 'VOGUE', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}]",7124808 INR,04-10-2021,Renovation of Office Premises at 5th Floor AG Tower,15-09-2021,LT/8590-000-SE-T-0189/147,25-MAR-2022
REPROGRAPHICS INDIA,"[{'S.no': '1', 'Vendor_code': '57655', 'Vendor_name': 'Minosha India Limited', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '2', 'Vendor_code': '57656', 'Vendor_name': 'INDI Innovation and Solutions', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '57657', 'Vendor_name': 'CADmarC Software Pvt Ltd', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}, {'S.no': '4', 'Vendor_code': '57658', 'Vendor_name': 'WIDEPRINT SYSTEMS AND SOLUTIONS', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '~V59', 'Vendor_name': 'REPROGRAPHICS INDIA', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '~V60', 'Vendor_name': 'MONOTECH SYSTEMS LIMITED', 'reply_status': 'Q', 'Qualified After Technical Evaluation': 'No'}]",5522000 INR,11-11-2021,Acquisition of Ao Size DigitalMono and Color Printer,14-10-2021,LT/8516-000-SE-T-0004/102,17-MAR-2022
